aphasic speech, correct sentence
laundry clothes wash dirty,i need to wash my dirty laundry
breakfast eat toast butter,i will eat toast with butter for breakfast
bus ride station late,i have to catch the bus at the station but i am running late
dinner cook pasta sauce,i am cooking pasta with sauce for dinner
walk dog leash morning,i will walk the dog using a leash in the morning
grocery list shopping milk,i need to add milk to my grocery shopping list
gas car fill station,i have to fill up my car with gas at the station
exercise gym workout sweat,i am going to the gym for a workout and expect to sweat
phone call mom talk,i need to call my mom to talk
brush teeth toothpaste clean,i will brush my teeth with toothpaste to keep them clean
shower soap water hot,i am going to take a hot shower using soap and water
sleep bed night tired,i am tired and going to sleep in my bed at night
tv watch news evening,i will watch the news on tv in the evening
lunch sandwich eat work,i am going to eat a sandwich for lunch at work
mail post letter stamp,i need to mail a letter with a postage stamp
clean kitchen dishes wash,i have to clean the kitchen and wash the dishes
glasses read newspaper wear,i will wear my glasses to read the newspaper
bank deposit money account,i need to go to the bank and deposit money into my account
pay bills online check,i have to pay my bills online using a check
prescription pharmacy pickup,i need to pick up my prescription from the pharmacy
appointment doctor schedule,i have to schedule an appointment with my doctor
trash garbage can take,i need to take out the trash and put it in the garbage can
vacuum floor carpet clean,i am going to vacuum the floor to clean the carpet
school children drop morning,i have to drop off the children at school in the morning
shoes wear feet store,i need to wear shoes on my feet when i go to the store
wallet money cards carry,i carry money and cards in my wallet
hair cut salon appointment,i have an appointment at the salon to get my hair cut
coffee shop meet friend,i am meeting a friend at the coffee shop
taxi ride city center,i will take a taxi ride to the city center
train ticket buy station,i need to buy a train ticket at the station
sunglasses wear bright sun,i will wear sunglasses because the sun is bright outside
keys lock door house,i need my keys to lock the door of my house
baby diaper change clean,i have to change the babys diaper to keep them clean
water plants garden hose,i need to water the plants in the garden using a hose
store food buy hungry,i need to buy food at the store because i am hungry
rain coat umbrella wet,i need a raincoat and an umbrella as its wet outside
birthday party cake friend,my friend is having a birthday party and there will be cake
car fix mechanic broke,my car is broken so i need to take it to a mechanic to get it fixed
movie popcorn watch night,we will watch a movie and eat popcorn tonight
vacation beach relax sun,we are going on vacation to the beach to relax and enjoy the sun
coffee morning wake cup,i need a cup of coffee to wake up in the morning
work late traffic home,i will be late coming home from work due to traffic
book read library quiet,i like to read books in the quiet atmosphere of the library
flower garden beautiful smell,the flowers in the garden are beautiful and have a pleasant smell
laptop charge battery work,i need to charge my laptops battery for work
park car street meter,i have to park my car on the street and pay the meter
tea hot drink afternoon,i will have a hot cup of tea in the afternoon
drive license renew office,i need to renew my drivers license at the office
alarm clock set morning,i am going to set my alarm clock for the morning
child homework help school,i need to help my child with their homework from school
trash recycling bin separate,i have to separate the trash and recycling into different bins
weather forecast check rain,i will check the weather forecast to see if it will rain
umbrella rain carry wet,i will carry an umbrella in case it rains and gets wet
airplane travel ticket buy,i need to buy a ticket for airplane travel
socks feet wear shoes,i will wear socks on my feet before putting on shoes
wash hands soap water,i need to wash my hands with soap and water
cat feed food bowl,i have to feed the cat by putting food in its bowl
meeting office attend work,i need to attend a meeting at the office for work
headphones music listen,i will use my headphones to listen to music
camera photos take vacation,i am going to take photos with my camera on vacation
sweater cold wear weather,i will wear a sweater because the weather is cold
ice cream cone buy store,i will buy an ice cream cone at the store
traffic light stop red,i have to stop at the traffic light when it is red
stairs climb exercise floor,i will climb the stairs for exercise to reach the next floor
grocery cart push store,i need to push the grocery cart while shopping at the store
toothbrush bathroom morning,i will use my toothbrush in the bathroom in the morning
job interview prepare clothes,i need to prepare my clothes for the job interview
phone charge plug night,i will plug in my phone to charge it overnight
garden flowers water morning,i am going to water the flowers in the garden in the morning
hat wear head sun,i will wear a hat on my head to protect myself from the sun
restaurant dinner reservation,i need to make a reservation for dinner at the restaurant
bus ticket buy station,i have to buy a bus ticket at the station
jacket cold wear weather,i will wear a jacket since the weather is cold
treadmill gym run exercise,i am going to run on the treadmill at the gym for exercise
dryer clothes load finish,i will finish loading the dryer with clothes
fridge food store cold,i need to store food in the fridge to keep it cold
computer update software work,i have to update the software on my computer for work
playground children play fun,the children will have fun playing at the playground
light switch off room dark,i will turn off the light switch to make the room dark
iron clothes wrinkles remove,i need to iron my clothes to remove wrinkles
mall shopping clothes buy,i am going to the mall to buy clothes while shopping
medicine cabinet bathroom,i will get my medicine from the cabinet in the bathroom
pillow bed sleep head,i will use a pillow to rest my head while sleeping in bed
microwave heat food timer,i will heat my food in the microwave using a timer
kettle water boil tea,i am going to boil water in the kettle for tea
bike helmet wear safety,i will wear a bike helmet for safety while riding
window open fresh air,i will open the window to let in some fresh air
towel dry shower wet,i will use a towel to dry off after taking a shower
meeting room work conference,the conference will take place in the meeting room at work
taxi airport ride luggage,i will take a taxi to the airport with my luggage
stove cook dinner heat,i will cook dinner on the stove using heat
backpack school books carry,i will carry my school books in a backpack
phone text message friend,i will send a text message to my friend on my phone
car wash clean soap water,i need to wash my car using soap and water at the car wash
shoes tie laces feet,i will tie the laces on my shoes to secure them on my feet
yogurt fridge breakfast eat,i will eat yogurt from the fridge for breakfast
oven bake cookies timer,i will bake cookies in the oven using a timer
dog leash park walk,i will take my dog for a walk in the park using a leash
wallet find keys purse,i need to find my wallet and keys in my purse
paint brush canvas art,i will use a paintbrush on the canvas to create art
lawn mow grass outside,i need to mow the lawn to trim the grass outside
bread toaster breakfast,i will use the toaster to make toast for breakfast
elevator office floor button,i will take the elevator to my office floor by pressing the button
soccer ball play field,i am going to play soccer with a ball on the field
washing machine detergent,i need to put detergent in the washing machine
piano music play practice,i will practice playing music on the piano
bathtub water fill hot,i will fill the bathtub with hot water
glasses clean cloth lens,i will clean the lenses of my glasses with a cloth
nap sleep couch afternoon,i will take a nap by sleeping on the couch in the afternoon
notebook write pen paper,i will write with a pen on the paper in my notebook
grocery bag carry heavy,i will carry the heavy grocery bags
headphones volume music,i need to adjust the volume while listening to music with headphones
coffee pot brew morning,i will brew coffee in the coffee pot in the morning
fan cool air room,i will turn on the fan to cool the air in the room
bus stop wait bench,i will wait for the bus at the stop while sitting on the bench
dishwasher load clean,i need to load the dishwasher to clean the dishes
cellphone charger plug,i will plug in my cellphone to the charger
window blinds close privacy,i will close the window blinds for privacy
suitcase pack clothes travel,i need to pack my clothes in the suitcase for travel
printer paper load office,i will load paper into the printer at the office
apple fruit snack eat,i will eat an apple as a fruit snack
garage car park open door,i will open the garage door to park my car
watch time wrist check,i will check the time on my wristwatch
computer mouse click screen,i will use the computer mouse to click on the screen
coat hanger closet hang,i will hang my coat on a hanger in the closet
radio station music listen,i will listen to music on the radio station
scissors cut paper craft,i will use scissors to cut paper for a craft project
shampoo hair wash shower,i will wash my hair with shampoo in the shower
rice cooker meal kitchen,i will use the rice cooker to prepare a meal in the kitchen
milk cereal bowl breakfast,i will pour milk over my cereal in a bowl for breakfast
desk chair sit work,i will sit on the desk chair while working
bathtub faucet water fill,i will fill the bathtub with water using the faucet
bus driver ticket pay,i will pay the bus driver for my ticket
library book borrow return,i need to borrow a book from the library and return it later
laptop work desk table,i will use my laptop for work on the desk table
basketball hoop play game,i will play a game of basketball using the hoop
laundry detergent add machine,i need to add detergent to the laundry machine
kitchen knife cut vegetables,i will use a kitchen knife to cut vegetables
phone charger find bedroom,i need to find my phone charger in the bedroom
keys car drive lock,i will use my keys to lock and drive the car
blanket bed cold night,i will use a blanket in bed on a cold night
fridge milk pour glass,i will pour milk from the fridge into a glass
bike ride park exercise,i will ride my bike to the park for exercise
spoon soup eat bowl,i will use a spoon to eat soup from a bowl
mailbox letter check receive,i will check the mailbox to see if i received any letters
tv remote control change,i will use the tv remote control to change channels
coffee maker morning brew,i will brew coffee with the coffee maker in the morning
table set dinner plates,i will set the table for dinner with plates
oven mitts hot pan handle,i will use oven mitts to hold the hot pan handle
air conditioner cool room,i will turn on the air conditioner to cool the room
luggage suitcase pack trip,i will pack my luggage in a suitcase for my trip
bicycle lock secure rack,i will lock my bicycle securely to a bike rack
umbrella rain carry stay,i will carry an umbrella to stay dry in the rain
camera photo take memory,i will take photos with my camera to capture memories
printer ink cartridge replace,i need to replace the ink cartridge in my printer
car oil change garage,i will get my cars oil changed at the garage
trash bin garbage bag replace,i will replace the garbage bag in the trash bin
shoes store try buy,i will try on shoes at the store before buying them
headphones music gym workout,i will use headphones to listen to music during my gym workout
mirror bathroom clean,i will clean the mirror in the bathroom
sweater wear warm cold,i will wear a sweater to stay warm in the cold
newspaper read coffee morning,i will read the newspaper while drinking coffee in the morning
electric kettle water boil,i will use an electric kettle to boil water
pencil sharpener use write,i will use a pencil sharpener to sharpen my pencil for writing
laptop case carry protect,i will carry my laptop in a case to protect it
light bulb change ceiling,i need to change the light bulb in the ceiling
curtains close window privacy,i will close the curtains for privacy by the window
blender smoothie fruit make,i will use a blender to make a fruit smoothie
blender smoothie fruit make,i will use a blender to make a fruit smoothie
gas station car fuel fill,i will fill up my car with fuel at the gas station
shoes polish clean shine,i will polish my shoes to clean and shine them
stapler papers office attach,i will use a stapler to attach papers together in the office
vacuum carpet floor clean,i will use a vacuum to clean the carpeted floor
sandwich bread lunch make,i will make a sandwich with bread for lunch
water plants garden hose,i will water the plants in the garden using a hose
movie theater popcorn buy,i will buy popcorn at the movie theater
watch battery replace store,i need to replace the battery in my watch at the store
cake bake oven birthday,i will bake a cake in the oven for a birthday celebration
ruler measure paper cut,i will use a ruler to measure and cut the paper
phone call friend talk,i will make a phone call to talk with my friend
shovel snow driveway clear,i will use a shovel to clear the snow from the driveway
wallet money cash pay,i will use the money in my wallet to pay with cash
train station ticket buy,i need to buy a ticket at the train station
toothpaste brush teeth clean,i will use toothpaste to brush my teeth and clean them
pajamas wear sleep bed,i will wear pajamas to sleep in bed
raincoat wear weather wet,i will wear a raincoat in wet weather to stay dry
bus schedule check time,i will check the bus schedule for the arrival time
sunglasses eyes sun protect,i will wear sunglasses to protect my eyes from the sun
microwave popcorn snack heat,i will heat popcorn in the microwave as a snack
hand sanitizer use clean,i will use hand sanitizer to keep my hands clean
store shopping list groceries,i will bring a shopping list to the store for groceries
yoga mat exercise stretch,i will use a yoga mat for stretching exercises
frying pan cook food stove,i will use a frying pan to cook food on the stove
mail letter envelope stamp,i will mail a letter in an envelope with a stamp
towel laundry wash dirty,i will wash the dirty towels with the laundry
magazine read article relax,i will read a magazine article to relax
wristwatch time check wear,i will wear a wristwatch to check the time
batteries remote replace tv,i need to replace the batteries in the tv remote
hairbrush comb hair style,i will use a hairbrush to comb and style my hair
power bank charge phone,i will use a power bank to charge my phone
scissors open package cut,i will use scissors to open and cut the package
tea kettle whistle hot,i will heat the tea kettle until it whistles
ice tray freezer fill water,i will fill the ice tray with water and put it in the freezer
wallet phone keys grab,i will grab my wallet phone and keys before leaving
grocery list items add,i will add items to my grocery list for shopping
laundry basket clothes sort,i will sort the clothes in the laundry basket
bed make sheets tidy,i will make my bed by tidying up the sheets
haircut salon appointment,i need to make a haircut appointment at the salon
takeout order food dinner,i will order takeout food for dinner tonight
car wash clean dirt remove,i will take my car to the car wash to remove dirt and clean it
dog food store buy,i need to buy dog food at the store
coffee shop work laptop,i will go to the coffee shop to work on my laptop
dry cleaning clothes pick,i will pick up my clothes from the dry cleaning
walking shoes exercise path,i will wear my walking shoes for exercise on the path
park bench rest sit,i will sit and rest on a park bench
trash bags replace bin,i need to replace the trash bags in the bin
breakfast dishes wash sink,i will wash the breakfast dishes in the sink
gas stove cook dinner meal,i will use the gas stove to cook dinner tonight
pillows fluff bed arrange,i will fluff and arrange the pillows on my bed
atm withdraw money cash,i will go to the atm to withdraw cash
baby diaper change clean,i need to change and clean the babys diaper
exercise class attend gym,i will attend an exercise class at the gym
sweeping floors dust clean,i will sweep the floors to remove dust and clean them
mop kitchen spills clean,i will mop the kitchen floor to clean up spills
grocery cart store shop,i will use a grocery cart while shopping at the store
birthday gift buy friend,i will buy a birthday gift for my friend
kids school bus morning,i will take the kids to the school bus in the morning
